Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
2016-04-09,Moree,21.0,31.9,0.2,,,WNW,54.0,NNE,WNW,24.0,33.0,57.0,37.0,1021.0,1017.9,5.0,8.0,24.9,28.6,No,No
2011-06-01,Moree,5.6,23.1,0.0,2.0,9.9,SSE,46.0,S,S,20.0,31.0,77.0,46.0,1019.1,1016.9,4.0,5.0,13.8,21.8,No,No
2013-11-17,CoffsHarbour,11.6,23.1,22.2,5.4,,SSW,41.0,SW,E,20.0,17.0,58.0,62.0,1012.5,1010.5,1.0,7.0,19.8,21.3,Yes,Yes
2009-08-14,MelbourneAirport,6.7,17.1,3.4,1.8,9.7,N,61.0,N,NE,13.0,20.0,75.0,66.0,1020.4,1017.2,2.0,4.0,10.8,15.6,Yes,No
2012-06-01,Wollongong,11.8,18.7,0.0,,,E,15.0,NW,N,4.0,6.0,75.0,75.0,1029.6,1025.9,,8.0,16.2,17.2,No,No
2017-05-12,Watsonia,3.3,19.1,0.0,1.4,7.8,N,20.0,E,ENE,7.0,6.0,100.0,52.0,1025.9,1022.9,1.0,6.0,6.2,18.6,No,No
2011-08-06,Hobart,9.0,9.6,12.6,0.6,0.0,S,37.0,S,S,17.0,24.0,95.0,92.0,1019.0,1019.2,,,9.6,8.3,Yes,Yes
2017-04-13,Nuriootpa,6.4,25.2,0.0,3.4,10.4,SW,30.0,NNE,W,6.0,13.0,56.0,22.0,1024.8,1022.3,2.0,,17.5,24.5,No,No
2015-10-17,PerthAirport,6.3,30.1,0.0,6.8,12.1,ENE,37.0,ENE,W,20.0,24.0,39.0,23.0,1017.8,1013.1,0.0,1.0,21.0,28.1,No,No
2015-11-05,Nuriootpa,13.6,19.2,19.8,6.6,2.4,WSW,39.0,WNW,SW,17.0,20.0,94.0,75.0,1007.7,1008.1,7.0,7.0,15.2,17.6,Yes,No
2014-04-14,Ballarat,9.6,17.9,0.0,,,ESE,48.0,SE,SE,35.0,26.0,71.0,49.0,1022.7,1021.9,,,12.8,17.0,No,No
2009-04-06,BadgerysCreek,11.7,21.3,0.2,,,S,31.0,S,ESE,19.0,17.0,73.0,60.0,1021.2,1019.5,,,17.8,20.1,No,No
2016-10-12,Mildura,5.2,18.8,0.0,3.0,6.4,WSW,35.0,WSW,SW,13.0,20.0,85.0,43.0,1022.2,1020.4,7.0,7.0,10.9,16.7,No,No
2015-12-21,PearceRAAF,17.9,38.2,0.0,,12.5,E,54.0,NE,SSW,19.0,20.0,28.0,17.0,1009.9,1006.5,,,27.4,36.8,No,No
2011-03-23,Woomera,11.3,23.2,0.0,4.0,2.9,WSW,44.0,WSW,SW,6.0,22.0,90.0,40.0,1014.6,1012.6,4.0,0.0,13.2,21.6,No,No
2013-01-01,Wollongong,19.9,23.6,0.0,,,S,48.0,E,ENE,7.0,11.0,85.0,76.0,1012.0,1008.7,7.0,,20.7,22.8,No,No
2015-01-11,Ballarat,11.5,22.9,0.0,,,ESE,56.0,SE,SE,31.0,35.0,92.0,69.0,1015.3,1013.7,,8.0,16.7,20.9,No,No
2009-10-18,PearceRAAF,13.3,27.0,0.0,,11.6,WNW,37.0,N,W,19.0,13.0,78.0,48.0,1017.0,1015.4,2.0,,20.3,26.6,No,No
2017-01-31,Sale,16.4,25.7,0.0,,,W,46.0,WSW,W,20.0,20.0,60.0,35.0,1012.8,1012.3,8.0,,18.3,24.8,No,No
2014-07-11,GoldCoast,8.8,21.4,0.0,,,W,41.0,NW,N,11.0,13.0,34.0,23.0,1020.0,1017.5,,,15.5,21.1,No,No
2010-12-30,Williamtown,15.1,32.0,0.0,8.0,10.6,,,NE,ESE,2.0,24.0,63.0,31.0,1016.5,1014.8,1.0,1.0,24.0,30.9,No,No
2012-03-22,Darwin,27.0,32.0,0.0,6.2,5.3,WNW,41.0,W,WNW,15.0,28.0,79.0,66.0,1008.2,1005.4,6.0,7.0,29.2,30.9,No,Yes
2009-12-24,Albury,22.9,34.6,0.0,,,NNE,63.0,N,NNW,31.0,20.0,21.0,29.0,1006.5,1006.3,,,32.1,30.4,No,Yes
2011-03-03,Richmond,13.6,30.9,0.0,2.0,,WSW,43.0,,W,0.0,26.0,91.0,20.0,1009.8,1007.5,,,17.8,30.4,No,No
2011-05-08,Newcastle,9.8,22.3,0.0,,,,,NW,,4.0,0.0,71.0,50.0,,,2.0,6.0,14.1,21.9,No,No
2015-11-16,Tuggeranong,7.5,22.3,0.0,,,NW,26.0,E,WSW,4.0,11.0,69.0,39.0,1019.4,1015.7,,,13.9,21.6,No,No
2010-10-03,PerthAirport,4.6,22.3,0.0,5.2,11.1,WSW,39.0,SE,WSW,6.0,22.0,52.0,46.0,1023.1,1020.7,1.0,1.0,17.2,20.7,No,No
